date,target,scenario,forecast
2026-12-11,cepea_ethanol_mt_net_m3,downside_macro,2167.9893597135488
2026-12-18,cepea_ethanol_mt_net_m3,downside_macro,2163.5660497414797
2026-12-25,cepea_ethanol_mt_net_m3,downside_macro,2159.112995049508
2027-01-01,cepea_ethanol_mt_net_m3,downside_macro,2163.7503163336746
2027-01-08,cepea_ethanol_mt_net_m3,downside_macro,2166.7572521316
2027-01-15,cepea_ethanol_mt_net_m3,downside_macro,2170.079320023393
2027-01-22,cepea_ethanol_mt_net_m3,downside_macro,2173.488900519735
2027-01-29,cepea_ethanol_mt_net_m3,downside_macro,2175.6469379608325
2027-02-05,cepea_ethanol_mt_net_m3,downside_macro,2180.805676702657
2027-02-12,cepea_ethanol_mt_net_m3,downside_macro,2182.0490731389746
2027-02-19,cepea_ethanol_mt_net_m3,downside_macro,2181.2597273257275
2027-02-26,cepea_ethanol_mt_net_m3,downside_macro,2178.0890862054207
2027-03-05,cepea_ethanol_mt_net_m3,downside_macro,2173.673042922555
2027-03-12,cepea_ethanol_mt_net_m3,downside_macro,2168.864460479826
2027-03-19,cepea_ethanol_mt_net_m3,downside_macro,2163.675587044292
2027-03-26,cepea_ethanol_mt_net_m3,downside_macro,2157.000642623319
2027-04-02,cepea_ethanol_mt_net_m3,downside_macro,2179.241787170545
2027-04-09,cepea_ethanol_mt_net_m3,downside_macro,2186.1594577295273
2027-04-16,cepea_ethanol_mt_net_m3,downside_macro,2190.782255229056
2027-04-23,cepea_ethanol_mt_net_m3,downside_macro,2188.607033391874
2026-04-10,anp_ethanol_mt_net_l,base,4.00410414299444
2026-04-17,anp_ethanol_mt_net_l,base,3.97966358837998
2026-04-24,anp_ethanol_mt_net_l,base,3.9281112257164432
2026-05-01,anp_ethanol_mt_net_l,base,3.897221362114799
2026-05-08,anp_ethanol_mt_net_l,base,3.840002660227559
2026-05-15,anp_ethanol_mt_net_l,base,3.7955132850479303
2026-05-22,anp_ethanol_mt_net_l,base,3.7505303689838088
2026-05-29,anp_ethanol_mt_net_l,base,3.708719333959327
2026-06-05,anp_ethanol_mt_net_l,base,3.6623746815062583
